SourceFile,GPSLatitude,GPSLongitude
/Users/cassiebrooks/Desktop/pht/IMG_6757.m4v,"8 deg 23' 2.04"" S","116 deg 24' 3.20"" E"
/Users/cassiebrooks/Desktop/pht/IMG_0969.jpg,"13 deg 44' 17.00"" N","100 deg 33' 35.50"" E"
/Users/cassiebrooks/Desktop/pht/IMG_5811.jpg,"1 deg 16' 58.24"" N","103 deg 52' 1.24"" E"
/Users/cassiebrooks/Desktop/pht/IMG_2818.jpg,"46 deg 22' 25.70"" N","6 deg 28' 44.08"" E"
/Users/cassiebrooks/Desktop/pht/IMG_7960.jpg,"48 deg 51' 51.73"" N","2 deg 38' 17.63"" E"
/Users/cassiebrooks/Desktop/pht/IMG_5805.jpg,"1 deg 16' 58.43"" N","103 deg 52' 0.72"" E"
/Users/cassiebrooks/Desktop/pht/IMG_3284.jpg,"48 deg 48' 22.74"" N","2 deg 6' 44.85"" E"
/Users/cassiebrooks/Desktop/pht/IMG_0955.jpg,"13 deg 44' 41.74"" N","100 deg 32' 24.55"" E"
/Users/cassiebrooks/Desktop/pht/IMG_1493.jpg,"7 deg 43' 58.65"" N","98 deg 46' 20.31"" E"
/Users/cassiebrooks/Desktop/pht/IMG_2824.jpg,"46 deg 22' 25.70"" N","6 deg 28' 43.98"" E"
/Users/cassiebrooks/Desktop/pht/IMG_5193.jpg,"48 deg 53' 12.65"" N","2 deg 19' 31.84"" E"
/Users/cassiebrooks/Desktop/pht/IMG_2830.jpg,"46 deg 12' 5.85"" N","6 deg 8' 52.75"" E"
/Users/cassiebrooks/Desktop/pht/IMG_7948.jpg,"48 deg 48' 19.47"" N","2 deg 25' 34.20"" E"
/Users/cassiebrooks/Desktop/pht/IMG_6019.m4v,"1 deg 16' 54.48"" N","103 deg 51' 51.12"" E"
/Users/cassiebrooks/Desktop/pht/IMG_0941.jpg,"13 deg 44' 42.79"" N","100 deg 32' 25.13"" E"
/Users/cassiebrooks/Desktop/pht/IMG_1487.jpg,"7 deg 43' 30.38"" N","98 deg 46' 39.32"" E"
/Users/cassiebrooks/Desktop/pht/IMG_3290.jpg,"48 deg 48' 22.63"" N","2 deg 6' 43.83"" E"
/Users/cassiebrooks/Desktop/pht/IMG_5839.jpg,-,-
/Users/cassiebrooks/Desktop/pht/IMG_4514.jpg,"48 deg 48' 19.50"" N","2 deg 25' 33.42"" E"
/Users/cassiebrooks/Desktop/pht/IMG_2165.jpg,"52 deg 22' 36.77"" N","4 deg 54' 17.02"" E"
/Users/cassiebrooks/Desktop/pht/IMG_9030.jpg,"48 deg 48' 19.21"" N","2 deg 25' 31.49"" E"
/Users/cassiebrooks/Desktop/pht/IMG_6303.jpg,"8 deg 33' 1.55"" S","115 deg 15' 30.35"" E"
/Users/cassiebrooks/Desktop/pht/IMG_0772.jpg,"48 deg 48' 12.22"" N","2 deg 25' 37.26"" E"
/Users/cassiebrooks/Desktop/pht/IMG_8448.jpg,"45 deg 55' 37.04"" N","8 deg 33' 40.04"" E"
/Users/cassiebrooks/Desktop/pht/IMG_6465.jpg,"8 deg 30' 37.25"" S","115 deg 15' 50.32"" E"
/Users/cassiebrooks/Desktop/pht/IMG_2603.jpg,"47 deg 16' 22.89"" N","2 deg 25' 26.21"" W"
/Users/cassiebrooks/Desktop/pht/IMG_5178.jpg,"48 deg 48' 18.85"" N","2 deg 25' 32.39"" E"
/Users/cassiebrooks/Desktop/pht/IMG_2617.jpg,"47 deg 16' 22.93"" N","2 deg 25' 26.51"" W"
/Users/cassiebrooks/Desktop/pht/IMG_3509.jpg,"51 deg 30' 23.83"" N","0 deg 11' 40.14"" W"
/Users/cassiebrooks/Desktop/pht/IMG_6471.jpg,"8 deg 30' 31.06"" S","115 deg 15' 51.58"" E"
/Users/cassiebrooks/Desktop/pht/IMG_6317.jpg,"8 deg 33' 1.90"" S","115 deg 15' 30.84"" E"
/Users/cassiebrooks/Desktop/pht/IMG_1478.jpg,"7 deg 43' 17.68"" N","98 deg 47' 23.12"" E"
/Users/cassiebrooks/Desktop/pht/IMG_0766.jpg,"48 deg 48' 18.91"" N","2 deg 25' 32.85"" E"
/Users/cassiebrooks/Desktop/pht/IMG_4500.jpg,"48 deg 48' 19.29"" N","2 deg 25' 33.31"" E"
/Users/cassiebrooks/Desktop/pht/IMG_2171.jpg,"52 deg 22' 36.99"" N","4 deg 54' 17.28"" E"
/Users/cassiebrooks/Desktop/pht/IMG_0996.jpg,"13 deg 43' 24.92"" N","100 deg 32' 24.28"" E"
/Users/cassiebrooks/Desktop/pht/IMG_1450.jpg,"7 deg 37' 50.02"" N","99 deg 1' 55.60"" E"
/Users/cassiebrooks/Desktop/pht/IMG_8312.jpg,"45 deg 53' 13.03"" N","8 deg 31' 58.19"" E"
